Id,Item,Caroline Staub,Jennifer Cisse,CJ Reconciled,LLMr1b,LLMr1a,LLM
125890262,"Agriculture on the brink: Climate change, labor and smallholder farming in Botswana",EXCLUDE,INCLUDE,EXCLUDE,Include,Include,INCLUDE
125896743,Agro-Economic Evaluation of Alternative Crop Management Options for Teff Production in the Northwestern Highlands of Ethiopia,EXCLUDE,EXCLUDE,EXCLUDE,Exclude,Exclude,EXCLUDE
125894736,Agro-pastoralists’ determinants of adaptation to climate change,INCLUDE,INCLUDE,INCLUDE,Include,Include,INCLUDE
125897260,Agroecology and the Human Rights-Based Approach: Transforming Food and Agricultural Systems to Improve Small Farmers’ Livelihoods,EXCLUDE,EXCLUDE,EXCLUDE,Exclude,Exclude,EXCLUDE
125906214,Agroforestry systems in Nepal: Enhancing food security and rural livelihoods – a comprehensive review,EXCLUDE,EXCLUDE,EXCLUDE,Exclude,Exclude,EXCLUDE
125895487,"An approach for forecasting of public water scarcity at the end of the 21st century, in the Timiş Plain of Romania",EXCLUDE,EXCLUDE,EXCLUDE,Exclude,Exclude,EXCLUDE
125896407,"Analysis of human activities and socioeconomic development on the marine ecological carrying capacity (mecc) evaluation index to climate change adaptation in Nunukan Regency, North Kalimantan, Indonesia",EXCLUDE,INCLUDE,EXCLUDE,Exclude,Exclude,EXCLUDE
125899289,Applied nucleation under high biodiversity silvopastoral system as an adaptive strategy against microclimate extremes in pasture areas,INCLUDE,EXCLUDE,EXCLUDE,Include,Exclude,INCLUDE
125903865,"Assessing heat exposure and its effects on farmer health, harvest yields, and nutrition: a study protocol for Burkina Faso and Kenya",EXCLUDE,EXCLUDE,EXCLUDE,Exclude,Exclude,INCLUDE
125896451,Assessing livelihood vulnerability of minority ethnic groups to climate change: A case study from the northwest mountainous regions of vietnam,EXCLUDE,EXCLUDE,EXCLUDE,Exclude,Include,INCLUDE
125905597,"Assessing multi-scale vulnerability of fisheries of Vembanad lake, Peninsular India, due to climate change: a stakeholders-based approach",EXCLUDE,EXCLUDE,EXCLUDE,Exclude,Include,INCLUDE
125890660,Assessing the impacts of climate change on land productivity in indian crop agriculture: An evidence from panel data analysis,EXCLUDE,EXCLUDE,EXCLUDE,Exclude,Exclude,EXCLUDE
125897776,Assessing the vulnerability of small-scale fishery communities in the estuarine areas of Central Vietnam in the context of increasing climate risks,EXCLUDE,EXCLUDE,EXCLUDE,Exclude,Include,INCLUDE
125902060,Assessment of farmers’ local adaptation strategies to climate variability impacts in Hulbarag district Ethiopia,INCLUDE,INCLUDE,INCLUDE,Include,Include,INCLUDE
125901495,"Assessment of Prioritized Climate Smart Agricultural Practices and Technologies of Household Farmers in Southeast, Nigeria",INCLUDE,INCLUDE,INCLUDE,Exclude,Exclude,EXCLUDE
125893409,Biological Features of Neoseiulus californicus (Acari: Phytoseiidae) Feeding on Schizotetranychus oryzae (Acari: Tetranychidae) Kept on Rice Leaves,EXCLUDE,EXCLUDE,EXCLUDE,Exclude,Exclude,EXCLUDE
125906540,Building climate resilience in the MENA region: a feminist political ecology of agroecology and neglected and underutilized crop species,INCLUDE,EXCLUDE,INCLUDE,Include,Include,INCLUDE
125905203,"Building resilience in Sub-Saharan Africa's food systems: Diversification, traceability, capacity building and technology for overcoming challenges",INCLUDE,INCLUDE,INCLUDE,Exclude,Exclude,EXCLUDE
125892139,Burial societies in rural ethiopia,EXCLUDE,EXCLUDE,EXCLUDE,Exclude,Exclude,EXCLUDE
125892389,Capacity building helps pastoral women transform impoverished communities in Ethiopia,INCLUDE,INCLUDE,INCLUDE,Include,Include,INCLUDE
125901190,Cases of Climate-Smart Agriculture in Southeast Asian highlands: Implications for ecosystem conservation and sustainability,INCLUDE,EXCLUDE,EXCLUDE,Include,Exclude,INCLUDE
125906476,Challenges and opportunities in building community-driven adaptive capacity under climate change for smallholder farmers in the Global South,INCLUDE,EXCLUDE,EXCLUDE,Include,Include,INCLUDE
125900299,"Characteristics of integrated mangrove-shrimp farming systems in Ben Tre Province, Vietnam: preliminary findings for organic shrimp production certification",EXCLUDE,EXCLUDE,EXCLUDE,Exclude,Exclude,EXCLUDE
125896843,Climate Change Impacts on Environment: Human Displacement and Social Conflicts in Nigeria,EXCLUDE,EXCLUDE,EXCLUDE,Exclude,Exclude,EXCLUDE
125896059,"Climate change perception and uptake of climate-smart agriculture in rice production in ebonyi state, nigeria",INCLUDE,INCLUDE,INCLUDE,Include,Include,INCLUDE
125894114,Climate Change Related Factors Impacting Dairy Production in Pakistan,EXCLUDE,EXCLUDE,EXCLUDE,Include,Exclude,INCLUDE
125893282,Climate change resiliency choices of small-scale farmers in Cameroon: determinants and policy implications,INCLUDE,INCLUDE,INCLUDE,Include,Include,INCLUDE
125901641,"Climate change-induced drought impacts, adaptation and mitigation measures in semi-arid pastoral and agricultural watersheds",EXCLUDE,INCLUDE,INCLUDE,Include,Include,INCLUDE
125896518,"Climate Change, Food Sovereignty, and Ancestral Farming Technologies in the Andes",INCLUDE,EXCLUDE,EXCLUDE,Include,Include,INCLUDE
125899092,"Climate change, water availability, and the burden of rural women's triple role in Muyuka, Cameroon",INCLUDE,EXCLUDE,EXCLUDE,Include,Include,INCLUDE
125900713,Climate Shocks and Social Networks: Understanding Adaptation among Rural Indian Households,INCLUDE,EXCLUDE,INCLUDE,Include,Include,INCLUDE
125904643,Climate-induced coastal occupational vulnerability and livelihood insecurity: Insights from coastal Bangladesh,EXCLUDE,EXCLUDE,EXCLUDE,Exclude,Exclude,INCLUDE
125894190,"Climatic risks and the livelihoods of cattle production families in the Costa Chica, Mexico",INCLUDE,EXCLUDE,EXCLUDE,Include,Include,INCLUDE
125896239,ClimeGreAq: A software-based DSS for the climate change adaptation of Greek aquaculture,INCLUDE,EXCLUDE,EXCLUDE,Exclude,Exclude,EXCLUDE
125891217,"Cocoa production in West Africa, a review and analysis of recent developments",EXCLUDE,EXCLUDE,EXCLUDE,Exclude,Exclude,EXCLUDE
125900462,"Combined effect of fertilizer micro-dosing and intercropped millet/cowpea effect on agronomic and economic advantages in prone Sahel area, Niger",INCLUDE,INCLUDE,INCLUDE,Include,Include,INCLUDE
125900633,Community-based approaches to support the anchoring of climate-smart agriculture in Tanzania,INCLUDE,INCLUDE,INCLUDE,Include,Include,INCLUDE
125905249,Comparing carbon offsets and livelihood benefits in a long-term reforestation project: Agroforestry versus native timber versus enrichment planting,EXCLUDE,EXCLUDE,EXCLUDE,Exclude,Exclude,EXCLUDE
125905124,Conducting a Tailored and Localised Marine Heat Wave Risk Assessment for Vanuatu Fisheries,EXCLUDE,EXCLUDE,EXCLUDE,Exclude,Exclude,EXCLUDE
125898136,Consequences of climate change impacts and incidences of extreme weather events in relation to crop production in Bhutan,EXCLUDE,EXCLUDE,EXCLUDE,Exclude,Include,INCLUDE
125905519,Constructing A Climate-Smart readiness index for smallholder farmers: The case of prioritized bundles of climate information services and climate smart agriculture in Ghana,INCLUDE,EXCLUDE,EXCLUDE,Include,Include,INCLUDE
125895282,Contextual vulnerability of rainfed crop-based farming communities in semi-arid Zimbabwe: A case of Chiredzi District,EXCLUDE,EXCLUDE,EXCLUDE,Exclude,Include,INCLUDE
125901061,Contribution of integrated watershed management (IWM) to disaster risk reduction and community development: Lessons from Nepal,INCLUDE,EXCLUDE,INCLUDE,Include,Exclude,INCLUDE
125890570,"Cropping systems: Applications, management and impact",EXCLUDE,INCLUDE,INCLUDE,Exclude,Exclude,EXCLUDE
125891365,Current knowledge on Amaranthus spp.: Research avenues for improved nutritional value and yield in leafy amaranths in sub-Saharan Africa,EXCLUDE,EXCLUDE,EXCLUDE,Exclude,Exclude,EXCLUDE
125902946,Deep Learning Models and Their Ensembles for Robust Agricultural Yield Prediction in Saudi Arabia,EXCLUDE,EXCLUDE,EXCLUDE,Exclude,Exclude,EXCLUDE
125900180,Deep Learning-Based Plant Phenotyping Framework: Analysis of Crop Life Cycle Data for Indian Farmers to Develop a Smart Agri-Field Management System,INCLUDE,EXCLUDE,EXCLUDE,Exclude,Exclude,EXCLUDE
125896137,Determinants of reactive adaptations to climate change in semi-arid region of Pakistan,INCLUDE,INCLUDE,INCLUDE,Include,Include,INCLUDE
125896759,Determination of seroprevalence of contagious caprine pleuropneumonia and associated risk factors in goats and sheep using classification and regression tree,EXCLUDE,EXCLUDE,EXCLUDE,Exclude,Exclude,EXCLUDE
125892458,Development of sorghum for bio-energy: A view from the stakeholders and priorities for breeding dual purpose varieties,INCLUDE,EXCLUDE,EXCLUDE,Exclude,Exclude,EXCLUDE
125901339,"Digital soil mapping of soil total nitrogen based on Landsat 8, Sentinel 2, and WorldView-2 images in smallholder farms in Yellow River Basin, China",EXCLUDE,EXCLUDE,EXCLUDE,Exclude,Exclude,EXCLUDE
125904186,Diversifying to alleviate poverty? A bibliometric analysis of the relationship between agricultural strategies and multidimensional poverty in rural Côte d’Ivoire,INCLUDE,EXCLUDE,EXCLUDE,Exclude,Exclude,EXCLUDE
125895612,Does adoption of multiple climate-smart practices improve farmers' climate resilience? Empirical evidence from the Nile Basin of Ethiopia,INCLUDE,INCLUDE,INCLUDE,Include,Include,INCLUDE
125901272,Drought perception and field-level adaptation strategies of farming households in drought-prone areas of Afghanistan,INCLUDE,INCLUDE,INCLUDE,Include,Include,INCLUDE
125893554,"Droughts, biodiversity, and rural incomes in the tropics",INCLUDE,EXCLUDE,INCLUDE,Exclude,Include,INCLUDE
125890451,Dry spells assessment with reference to the maize crop in the Luvuvhu River catchment of South Africa,EXCLUDE,EXCLUDE,EXCLUDE,Exclude,Exclude,EXCLUDE
125905150,"Dynamic Evaluation and Risk Projection of Heat Exposure Based on Disaster Events for Single-Season Rice along the Middle and Lower Reaches of the Yangtze River, China",EXCLUDE,EXCLUDE,EXCLUDE,Exclude,Exclude,EXCLUDE
125899341,"Dynamics and Determinants of Farmers’ Perceptions about Causes and Impacts of Climate Change on Agriculture in Saudi Arabia: Implications for Adaptation, Mitigation, and Sustainability",EXCLUDE,EXCLUDE,EXCLUDE,Exclude,Exclude,EXCLUDE
125895751,Economic-engineering optimization to assess climate change impacts on agriculture in morocco,INCLUDE,EXCLUDE,EXCLUDE,Exclude,Exclude,EXCLUDE
125896350,"Effect of changes in climate and land use on rice productivity in Adani, Nigeria",EXCLUDE,EXCLUDE,EXCLUDE,Include,Include,INCLUDE
125894167,Effect of Climate Variability on Crop Income in Central Highlands of Ethiopia,EXCLUDE,EXCLUDE,EXCLUDE,Exclude,Exclude,INCLUDE
125890681,Effect of climate warming on maize production in Timor-Leste: Interaction with nitrogen supply,INCLUDE,EXCLUDE,EXCLUDE,Exclude,Exclude,EXCLUDE
125901432,Effects of fishery complementary photovoltaic power plant on near-surface meteorology and energy balance,EXCLUDE,EXCLUDE,EXCLUDE,Exclude,Exclude,EXCLUDE
125896971,"Effects of quality coffee production on smallholders’ adaptation to climate change in Yirgacheffe, Southern Ethiopia",INCLUDE,INCLUDE,INCLUDE,Include,Include,INCLUDE
125896412,Emerging threats to food security in Nigeria: Way forward,EXCLUDE,EXCLUDE,EXCLUDE,Exclude,Exclude,EXCLUDE
125902942,"Enhancing Farmer Resilience Through Agricultural Insurance: Evidence from Jiangsu, China",INCLUDE,EXCLUDE,INCLUDE,Include,Exclude,EXCLUDE
125904974,Enhancing sugarcane growth quality and productivity through a biotechnology approach,EXCLUDE,EXCLUDE,EXCLUDE,Exclude,Exclude,EXCLUDE
125905400,Entering the Digital Research Age: Investigating the Effectiveness of Visual Digital Tools in Agricultural Research,INCLUDE,INCLUDE,INCLUDE,Include,Include,INCLUDE
125903167,Environmental and social impacts of women’s argan oil production in Morocco,EXCLUDE,EXCLUDE,EXCLUDE,Exclude,Exclude,EXCLUDE
125896363,Extreme climate events increase risk of global food insecurity and adaptation needs,EXCLUDE,EXCLUDE,EXCLUDE,Exclude,Exclude,EXCLUDE
125902954,Factors Influencing the Acceptance and Use of the Internet of Things (IoT) by Thai Farmers,INCLUDE,EXCLUDE,INCLUDE,Exclude,Exclude,EXCLUDE
125899576,Factors shaping plant diversity in traditional agroforestry system of dominant ethnic communities of upper Brahmaputra valley regions of Northeast India,EXCLUDE,EXCLUDE,EXCLUDE,Exclude,Exclude,EXCLUDE
125892597,"Farm income, gender differentials and climate risk in Cameroon: Typology of male and female adaptation options across agroecologies",INCLUDE,INCLUDE,INCLUDE,Include,Include,INCLUDE
125904519,"Farmers’ adaptation strategies to combat the impacts of climate change on grapevine production in Dodoma, Tanzania",INCLUDE,INCLUDE,INCLUDE,Include,Include,INCLUDE
125905765,Farmers’ adaptation to climate change and water consumption in southwest Iran: application of switching regression,INCLUDE,INCLUDE,INCLUDE,Include,Include,INCLUDE
125897998,Farmers’ beliefs and concerns about climate change: An assessment from southern Saudi Arabia,EXCLUDE,EXCLUDE,EXCLUDE,Exclude,Exclude,INCLUDE
125903433,"Farmers’ knowledge, attitude, and motivation for adoption of climate-smart agroforestry in two contrasting agroecosystems of Rwanda",INCLUDE,INCLUDE,INCLUDE,Include,Include,INCLUDE
125893964,FARMING ADAPTATION IN THE WESTERN SUDANESE SAVANNAH: LESSONS LEARNT AND CHALLENGES AHEAD,INCLUDE,INCLUDE,INCLUDE,Include,Include,INCLUDE
125900969,Fish diversity and spatial distribution pattern in the Nujiang River Basin,EXCLUDE,EXCLUDE,EXCLUDE,Exclude,Exclude,EXCLUDE
125905254,Fishers' ecological knowledge points to fishing-induced changes in the Peruvian Amazon,EXCLUDE,EXCLUDE,EXCLUDE,Exclude,Exclude,EXCLUDE
125904428,Flood Mapping and Damage Analysis Using Multispectral Sentinel-2 Satellite Imagery and Machine Learning Techniques,EXCLUDE,EXCLUDE,EXCLUDE,Exclude,Exclude,EXCLUDE
125905665,Flood risk mapping of the flood-prone Rangpur division of Bangladesh using remote sensing and multi-criteria analysis,EXCLUDE,EXCLUDE,EXCLUDE,Exclude,Exclude,EXCLUDE
125893352,Food processing technology: Case study on the development of rice bioindustry,EXCLUDE,EXCLUDE,EXCLUDE,Exclude,Exclude,EXCLUDE
125897177,Forest Resource Use and Management in Nigeria: Implications for Implementation of REDD+ for Climate Change Mitigation in West Africa,EXCLUDE,EXCLUDE,EXCLUDE,Exclude,Exclude,EXCLUDE
125903365,From Flood Mitigation to Environmental and Socioeconomic Disruption: A Case Study of the Langue de Barbarie Sand Spit Breach,EXCLUDE,EXCLUDE,EXCLUDE,Exclude,Exclude,EXCLUDE
125899981,"Gender differences in smallholder farmers’ adoption of crop diversification: Evidence from Shaanxi Plain, China",INCLUDE,INCLUDE,INCLUDE,Include,Exclude,EXCLUDE
125898697,Gender transformative impacts from watershed interventions: Insights from a mixed-methods study in the Bundelkhand region of India,INCLUDE,EXCLUDE,INCLUDE,Include,Include,INCLUDE
125906470,Genotype-by-gestational thermal environment interaction and its impact on the future performance of tropical composite beef cattle offspring,EXCLUDE,EXCLUDE,EXCLUDE,Exclude,Exclude,EXCLUDE
125890881,Global assessment of technological innovation for climate change adaptation and mitigation in developing world,EXCLUDE,EXCLUDE,EXCLUDE,Exclude,Exclude,EXCLUDE
125901222,"Google Earth Engine-Based Identification of Flood Extent and Flood-Affected Paddy Rice Fields Using Sentinel-2 MSI and Sentinel-1 SAR Data in Bihar State, India",EXCLUDE,EXCLUDE,EXCLUDE,Exclude,Exclude,EXCLUDE
125898959,"Grazing intensity effects on rangeland condition and tree diversity in Afar, northeastern Ethiopia",EXCLUDE,EXCLUDE,EXCLUDE,Exclude,Exclude,EXCLUDE
125906084,How do smallholder farmers run towards agricultural modernization under multiple stressors in China's coastal zones: an agent-based modeling approach,INCLUDE,EXCLUDE,INCLUDE,Include,Exclude,INCLUDE
125901900,"Hydrogeochemical characterization and suitability of water for irrigation in new and old reservoirs in northern Espirito Santo, Brazil",EXCLUDE,EXCLUDE,EXCLUDE,Exclude,Exclude,EXCLUDE
125895251,Identification of Minimum Data Set Under Balanced Fertilization for Sustainable Rice Production and Maintaining Soil Quality in Alluvial Soils of Eastern India,EXCLUDE,EXCLUDE,EXCLUDE,Exclude,Exclude,EXCLUDE
125900099,Impact of adoption of heat-stress tolerant maize hybrid on yield and profitability: Evidence from Terai region of Nepal,INCLUDE,INCLUDE,INCLUDE,Include,Include,INCLUDE
125899441,"Impact of climate smart agriculture on households’ resilience and vulnerability: An example from Central Rift Valley, Ethiopia",INCLUDE,INCLUDE,INCLUDE,Include,Include,INCLUDE
125895585,Impact of climatic variables on the spatial and temporal variability of crop yield and biomass gap in Sub-Saharan Africa- a case study in Central Ghana,EXCLUDE,EXCLUDE,EXCLUDE,Exclude,Exclude,EXCLUDE
125904522,Impact of COVID-19 among small-scale industry fishermen - A mixed methods study from the coastal area of Karnataka,EXCLUDE,EXCLUDE,EXCLUDE,Exclude,Exclude,EXCLUDE
125903955,Impact of current and historical climate shocks on crop diversification in Zambia: Insights from household- and district-level observations,INCLUDE,INCLUDE,INCLUDE,Include,Include,INCLUDE
125897594,Impact of seasonal hydrological variation on tropical fish assemblages: abrupt shift following an extreme flood event,EXCLUDE,EXCLUDE,EXCLUDE,Exclude,Exclude,EXCLUDE
125904179,Impact of Viral Diseases on the Livestock Sector in Bangladesh,EXCLUDE,EXCLUDE,EXCLUDE,Exclude,Exclude,EXCLUDE
125890988,"Impacts of agricultural water interventions on farm income: An example from the Kothapally watershed, India",INCLUDE,EXCLUDE,EXCLUDE,Exclude,Exclude,EXCLUDE
125893013,Impacts of climate change and variability on agriculture-experience from Europe and India,EXCLUDE,EXCLUDE,EXCLUDE,Exclude,Exclude,EXCLUDE
125904858,Impacts of social capital on climate change adaptations of banana farmers in Southern China,INCLUDE,INCLUDE,INCLUDE,Include,Exclude,INCLUDE
125902761,Implementation or inaction: how governmental multi-interventions catalyze farmers' adoption for climate adaption technology?,INCLUDE,INCLUDE,INCLUDE,Include,Exclude,EXCLUDE
125891667,"In situ rain water harvesting techniques increase maize growth and grain yield in a semi-arid agro-ecology of Nyagatare, Rwanda",INCLUDE,EXCLUDE,EXCLUDE,Exclude,Exclude,INCLUDE
125894564,Indigenous coping and adaptation strategies to climate change of local communities in Tanzania: a review,INCLUDE,INCLUDE,INCLUDE,Exclude,Exclude,EXCLUDE
125903550,Innovation in two contrasting value chains: Constraints and opportunities for adopting alternative crop production in the Vietnamese Mekong River Delta,EXCLUDE,EXCLUDE,EXCLUDE,Include,Include,INCLUDE
125902831,Innovation without participation? Moroccan farmers' perspectives on Haouz Mejjat aquifer contract,EXCLUDE,EXCLUDE,EXCLUDE,Include,Include,INCLUDE
125904873,Innovative Regenerative Technologies for Enhancing Resilience in Salinity-Stressed Rice Fields Along the Indonesian Coast: Promoting Net-Zero Farming Practices to Adapt to Climate Change,EXCLUDE,EXCLUDE,EXCLUDE,Exclude,Exclude,EXCLUDE
125892587,Integrating crop improvement with resource management to alleviate the effects of desertification under climate change scenarios,EXCLUDE,EXCLUDE,EXCLUDE,Exclude,Exclude,EXCLUDE
125899251,"Intensity of adaptations to heat stress in poultry farms: A behavioural analysis of farmers in Ondo state, Nigeria",INCLUDE,INCLUDE,INCLUDE,Include,Include,INCLUDE
125904421,"Interconnections between health, environment, demographic, and livelihood factors: shaping food security in Rukiga, Uganda",EXCLUDE,EXCLUDE,EXCLUDE,Exclude,Include,INCLUDE
125900298,Investigation of the response of sweet cherries to root mycorrhisation with biologics for sustainable horticulture development,EXCLUDE,EXCLUDE,EXCLUDE,Exclude,Exclude,EXCLUDE
125895287,It takes two to tango: integrating meteorological knowledge and actions for disaster risk reduction,INCLUDE,INCLUDE,INCLUDE,Include,Include,INCLUDE
125890290,Key factors affecting the flood vulnerability and adaptation of the shrimp farming sector in Thailand,INCLUDE,INCLUDE,INCLUDE,Include,Include,EXCLUDE
125901356,Land use change in the Vietnamese Mekong Delta: New evidence from remote sensing,EXCLUDE,EXCLUDE,EXCLUDE,Exclude,Exclude,EXCLUDE
125896351,Livelihood vulnerability assessment to climate change and variability: the case of farm households in South-East Tunisia,EXCLUDE,EXCLUDE,EXCLUDE,Exclude,Include,INCLUDE
125896459,Livelihoods and vulnerabilities of small-scale fishers to the impacts of climate variability and change: Insights from the coastal areas of bangladesh,EXCLUDE,EXCLUDE,EXCLUDE,Exclude,Include,INCLUDE
125897029,Local Adaptation Strategies in Combating Flooding in Fisheries and Aquaculture in Nigeria,INCLUDE,INCLUDE,INCLUDE,Include,Include,INCLUDE
125906108,"Local food system resilience in the context of shocks and crises: vulnerabilities and responses of agroecology-based farmers in Peru, Germany, and the United States",INCLUDE,INCLUDE,INCLUDE,Exclude,Exclude,EXCLUDE
125904350,"Map analysis of soil erodibility rates and gully erosion sites in Anambra State, South Eastern Nigeria",EXCLUDE,EXCLUDE,EXCLUDE,Exclude,Exclude,EXCLUDE
125899390,Meteorological information utilization and adoption of climate-smart agricultural practices; modifying factors and mediating effect,INCLUDE,INCLUDE,INCLUDE,Include,Include,INCLUDE
125900709,Micro-Investment by Tanzanian Smallholders’ in Drip Irrigation Kits for Vegetable Production to Improve Livelihoods: Lessons Learned and a Way Forward,INCLUDE,INCLUDE,INCLUDE,Include,Include,INCLUDE
125904535,Microplastic transport and ecological risk in coastal intruded aquifers based on a coupled seawater intrusion and microplastic risk assessment model,EXCLUDE,EXCLUDE,EXCLUDE,Exclude,Exclude,EXCLUDE
125892815,Mitigating greenhouse gas and nitrogen loss with improved fertilizer management in rice: Quantification and economic assessment,EXCLUDE,EXCLUDE,EXCLUDE,Exclude,Exclude,EXCLUDE
125897597,"Modeling the impact of climate change on the environmental flow indicators over Omo-Gibe basin, Ethiopia",EXCLUDE,EXCLUDE,EXCLUDE,Exclude,Exclude,EXCLUDE
125891663,Monitoring of ocean surface algal blooms in coastal and oceanic waters around India,EXCLUDE,EXCLUDE,EXCLUDE,Exclude,Exclude,EXCLUDE
125905394,Motivating factors of farmers’ adaptation behaviors to climate change in China: A meta-analysis,INCLUDE,EXCLUDE,EXCLUDE,Include,Include,INCLUDE
125906727,"Occupational Stress and Associated Factors among Sugarcane Farmers in Sa Kaeo Province, Thailand",EXCLUDE,EXCLUDE,EXCLUDE,Exclude,Exclude,EXCLUDE
125896165,Old abandoned terraces surveying and restoration as a contribution to the adaptive forest landscape restoration in Lebanon,INCLUDE,EXCLUDE,EXCLUDE,Include,Include,INCLUDE
125897865,"On the role of rainfall deficits and cropping choices in loss of agricultural yield in Marathwada, India",EXCLUDE,EXCLUDE,EXCLUDE,Exclude,Exclude,EXCLUDE
125896529,Optimization of rainwater harvesting system design for smallholder irrigation farmers in Kenya: A review,EXCLUDE,EXCLUDE,EXCLUDE,Exclude,Exclude,EXCLUDE
125896550,"Participatory Evaluation and Pre-Extension Demonstration of Improved Finger Millet Varieties with Its Full Package in Selected Districts of Debub Omo Zone, Southern Ethiopia",EXCLUDE,EXCLUDE,EXCLUDE,Exclude,Exclude,INCLUDE
125892377,"Pastoralists' perceptions of feed scarcity and livestock poisoning in southern rangelands, Ethiopia",EXCLUDE,EXCLUDE,EXCLUDE,Exclude,Include,INCLUDE
125901113,"Perceptions and attitudes towards climate change in fishing communities of the Sudd Wetlands, South Sudan",INCLUDE,EXCLUDE,EXCLUDE,Include,Include,INCLUDE
125893350,"Population genomics of the peripheral freshwater fish Polynemus melanochir (Perciformes, Polynemidae) in a changing Mekong Delta",EXCLUDE,EXCLUDE,EXCLUDE,Exclude,Exclude,EXCLUDE
125899650,Predicting intention in applying solar energy technologies in agriculture industry: A moderated and mediated model,EXCLUDE,EXCLUDE,EXCLUDE,Exclude,Exclude,EXCLUDE
125892147,Present status and approaches for the sustainable development of community based fish culture in seasonal floodplains of Bangladesh,EXCLUDE,EXCLUDE,EXCLUDE,Exclude,Exclude,EXCLUDE
125905619,Production of Browse Trees/Shrubs under Climate Change Conditions in the Butana Rangelands of Sudan,EXCLUDE,EXCLUDE,EXCLUDE,Exclude,Exclude,INCLUDE
125894164,"Productive, economic and greenhouse gases modelling of typical beef cow-calf systems in the flooding Pampas.",EXCLUDE,EXCLUDE,EXCLUDE,Exclude,Exclude,EXCLUDE
125893302,Resilience of coastal agricultural systems in Bangladesh: Assessment for agroecosystem stewardship strategies,INCLUDE,EXCLUDE,EXCLUDE,Include,Include,INCLUDE
125892782,Responses of fish production to fishing and climate variability in the northern South China Sea,EXCLUDE,EXCLUDE,EXCLUDE,Exclude,Exclude,EXCLUDE
125903461,Restoring Soil Organic Matter Content for Managing Soil Health in Africa’s Agroecoregions,EXCLUDE,EXCLUDE,EXCLUDE,Exclude,Exclude,EXCLUDE
125893672,Role of smallholder tea growers in carbon sink management,EXCLUDE,EXCLUDE,EXCLUDE,Exclude,Exclude,EXCLUDE
125893012,"Salinity patterns in irrigation systems, a threat to be demystified, a constraint to be managed: Field evidence from Algeria and Tunisia",INCLUDE,EXCLUDE,INCLUDE,Include,Exclude,EXCLUDE
125899638,"Satellite-based multi-annual yield models for major food crops at the household field level for nutrition and health research: A case study from the Nouna HDSS, Burkina Faso",EXCLUDE,EXCLUDE,EXCLUDE,Exclude,Exclude,INCLUDE
125892177,Scaling up agroforestry to achieve food security and environmental protection among smallholder farmers in Malawi,INCLUDE,EXCLUDE,INCLUDE,Include,Include,INCLUDE
125897627,Seascape connectivity of European anchovy in the Central Mediterranean Sea revealed by weighted Lagrangian backtracking and bio-energetic modelling,EXCLUDE,EXCLUDE,EXCLUDE,Exclude,Exclude,EXCLUDE
125903440,Simultaneous adoption of catastrophic risk management tools in aquaculture: A study of floodplain areas of Bangladesh,INCLUDE,INCLUDE,INCLUDE,Include,Include,INCLUDE
125890364,Social practices of knowledge mobilization for sustainable food production: nutrition gardening and fish farming in the kolli hills of India,INCLUDE,INCLUDE,INCLUDE,Exclude,Exclude,EXCLUDE
