Id,Item,DOI,Year,Publication,Abstract,Full_Text_File,Caroline Staub,Jennifer Cisse,Reconciled,Reconciliation Notes
80053542880,Rebuilding Resilience in the Sahel: Regreening in the Maradi and Zinder Regions of Niger,10.5751/es-04198-160301,2011,Ecology and Society,"The societies and ecosystems of the Nigerien Sahel appeared increasingly vulnerable to climatic and economic uncertainty in the late twentieth century. Severe episodes of drought and famine drove massive livestock losses and human migration and mortality. Soil erosion and tree loss reduced a woodland to a scrub steppe and fed a myth of the Sahara desert relentlessly advancing southward. Over the past two decades this myth has been shattered by the dramatic reforestation of more than 5 million hectares in the Maradi and Zinder Regions of Niger. No single actor, policy, or practice appears behind this successful regreening of the Sahel. Multiple actors, institutions and processes operated at different levels, times, and scales to initiate and sustain this reforestation trend. We used systems analysis to examine the patterns of interaction as biophysical, livelihood, and governance indicators changed relative to one another during forest decline and rebound. It appears that forest decline was reversed when critical interventions helped to shift the direction of reinforcing feedbacks, e.g., vicious cycles changed to virtuous ones. Reversals toward de-forestation or reforestation were preceded by institutional changes in governance, then livelihoods and eventually in the biophysical environment. Biophysical change sustained change in the other two domains until interventions introduced new ideas and institutions that slowed and then reversed the pattern of feedbacks. However, while society seems better at coping with economic or climatic shock or stress, the resilience of society and nature in the Maradi/Zinder region to global sources of uncertainty remains a pressing question in a society with one of the highest population growth rates on Earth.",/Users/zarrar/projects/ilri-climate-adaptation-effectiveness/scripts/outputs/step13/fulltext/doi_10.5751_es-04198-160301.pdf,,,,
84858164661,"To connect or not to connect? Floods, fisheries and livelihoods in the Lower Rufiji floodplain lakes, Tanzania",10.1080/02626667.2011.630002,2011,Hydrological Sciences Journal,"For seven years, village-based recorders monitored fish catches and water levels in seven floodplainassociated&#13;\nlakes of the Lower Rufiji, Tanzania. The lakes differ in the number of days and volume of inflows from&#13;\nthe river, and thus provide a natural experiment to explore the links between catch composition, income per hour of&#13;\nfishing (IPHF) and hydrological connectivity, and to analyse the response of the users. The fishers adapt their fishing&#13;\nmode and equipment to achieve a rather constant IPHF of between 0.2 and 0.8 US$/fisher/hour. In situations&#13;\nof low connectivity, during a series of drought years, the less well-connected lakes lost many species and became a&#13;\nvirtual monoculture of Oreochromis urolepis. Only in one extreme case was average fish size significantly reduced,&#13;\nindicating a high fishing pressure. Catch was therefore highly resilient to shifts toward illegal, non-selective and&#13;\nactive fishing techniques. Fish diversity and lake productivity were quickly re-established when the larger lakes&#13;\nreconnected. The potential impacts of changes in the flood hydrograph (through dams, increased abstraction or&#13;\nclimate/land-use changes) are assessed, and management options discussed.",/Users/zarrar/projects/ilri-climate-adaptation-effectiveness/scripts/outputs/step13/fulltext/doi_10.1080_02626667.2011.630002.pdf,,,,
84855768794,Assessing the predictability of future livelihood strategies of pastoralists in semi-arid Morocco under climate change,10.1016/j.techfore.2011.07.003,2012,Technological Forecasting and Social Change,"This study assesses the predictability of future livelihood strategies of transhumant pastoralists in semi-arid Morocco. A decrease in precipitation due to climate change will likely threaten their traditional livelihood strategy. We examine whether the pastoralists explicitly prefer certain alternative strategies or if their reactions will be contingent. Our analysis uses standardized interviews focussing on two aspects: firstly, which resources are necessary for the pastoralists to be able to choose a livelihood strategy? Secondly, to what degree are expectations of well-being satisfied by alternative strategies? To assign levels of predictability to all investigated strategies, we analyze the interviews using simple methods of partial order theory. We find that under perceived precipitation scarcity, 38% of pastoralists would explicitly opt for sedentarity and localized pastoralism as alternative strategy. Unclear preferences are given for 25% of the cases. Considering a policy scenario of enhanced access to education and capital, our analysis indicates commercial pastoralism as dominant alternative. However, such a scenario would increase the share of unclear preferences to 43%, which increases the likelihood of a contingent development. The method we propose can be considered as a mathematical basis for the concept of historical contingency.",/Users/zarrar/projects/ilri-climate-adaptation-effectiveness/scripts/outputs/step13/fulltext/doi_10.1016_j.techfore.2011.07.003.pdf,,,,
84868373341,Balancing-out floods and droughts: Opportunities to utilize floodwater harvesting and groundwater storage for agricultural development in Thailand,10.1016/j.jhydrol.2012.08.007,2012,Journal of Hydrology,"Thailand’s naturally high seasonal endowment of water resources brings with it the regularly experienced problems associated with floods during the wet season and droughts during the dry season. Downstream-focused engineering solutions that address flooding are vital, but do not necessarily capture the potential for basin-scale improvements to water security, food production and livelihood enhancement. Managed aquifer recharge, typically applied to annual harvesting of wet season flows in dry climates, can also be applied to capture, store and recover episodic extreme flood events in humid environments. In the Chao Phraya River Basin it is estimated that surplus flows recorded downstream above a critical threshold could be harvested and recharged within the shallow alluvial aquifers in a distributed manner upstream of flood prone areas without significantly impacting existing large-medium storages or the Gulf and deltaic ecosystems. Capturing peak flows approximately 1year in four by dedicating around 200km2 of land to groundwater recharge would reduce the magnitude of flooding and socio-economic impacts and generate around USD 250M/year in export earnings for smallholder rainfed farmers through dry season cash cropping without unduly compromising the demands of existing water users. It is proposed that farmers in upstream riparian zones be co-opted as flood harvesters and thus contribute to improved floodwater management through simple water management technologies that enable agricultural lands to be put to higher productive use. Local-scale site suitability and technical performance assessments along with revised governance structures would be required. It is expected that such an approach would also be applicable to other coastal-discharging basins in Thailand and potentially throughout the Asia region.",/Users/zarrar/projects/ilri-climate-adaptation-effectiveness/scripts/outputs/step13/fulltext/doi_10.1016_j.jhydrol.2012.08.007.pdf,,,,
84862333784,"Population, health, and environment situational analysis for the Saadani National Park Area, Tanzania",10.1016/j.ocecoaman.2012.05.005,2012,Ocean and Coastal Management,"This study provides a snapshot of the population, health, and environment situation and practices in the villages surrounding the Saadani National Park (SANAPA) and demonstrates the utility of a transdisciplinary systems perspective to evaluate population–health–environment linkages (PHE). Analyzing survey data from eight villages, this paper shows that in the SANAPA area, livelihoods are highly dependent on natural resources, but both agriculture and fisheries are experiencing a decline in productivity and profitability. Population stressors include a high population momentum, early marriages, teenage pregnancies, and migration. Women bear a heavy workload, while having little or no say in decision-making. The public health situation is severe with health facilities few and far in-between; lack of access to clean water and safe sanitation; and many households suffering from diarrhea, malaria, pneumonia, skin diseases, and HIV/AIDS. Environmental protection arrangements are in place in all sites, however, the awareness of protected areas and their benefits is low and many feel helpless in protecting the environment. Climate change—increasing periods of drought and irregular rainfall—contribute to food insecurity and health problems. The interconnectedness between these stressors reinforces the need for an integrated approach to addressing coastal conservation and community development in the SANAPA area.",/Users/zarrar/projects/ilri-climate-adaptation-effectiveness/scripts/outputs/step13/fulltext/doi_10.1016_j.ocecoaman.2012.05.005.html,,,,
85006056405,Reducing subsistence farmers' vulnerability to climate change: Evaluating the potential contributions of agroforestry in western Kenya,10.1186/2048-7010-1-15,2012,Agriculture and Food Security,"Subsistence farmers are among the people most vulnerable to current climate variability. Climate models predict that climate change will lead to warmer temperatures, increasing rainfall variability, and increasing severity and frequency of extreme weather events. Agroforestry, or the intentional use of trees in the cropping system, has been proposed by many development practitioners as a potential strategy to help farmers reduce their vulnerability to climate change. This study explores whether and, if so, how agroforestry techniques can help subsistence farmers reduce their vulnerability to climate change. From field research conducted in western Kenya, we find that households are not currently coping with climate-related hazards in a sustainable way. Farmers are aware of this, and believe that the most effective way to adapt to climate-related shocks is through improving their general standard of living. We evaluated agroforestry as one possible means of improving farmers’ well-being. By comparing farmers engaged in an agroforestry project with a control group of neighboring farmers, we find that involvement in agroforestry improves household’s general standard of living via improvements in farm productivity, off-farm incomes, wealth and the environmental conditions of their farm. We conclude that agroforestry techniques can be used as an effective part of a broader development strategy to help subsistence farmers reduce their vulnerability to climate-related hazards.",/Users/zarrar/projects/ilri-climate-adaptation-effectiveness/scripts/outputs/step13/fulltext/doi_10.1186_2048-7010-1-15.pdf,,,,
84855186644,Role of groundwater in buffering irrigation production against climate variability at the basin scale in South-West India,10.1016/j.agwat.2011.10.019,2012,Agricultural Water Management,"The basaltic aquifers of the Upper Bhima River Basin in India are highly utilized for irrigation but the sustainability of groundwater withdrawals and the agricultural production systems they support is largely unknown. Here we used hydrogeological data, supported by secondary data, to assess the effects of water scarcity over a decade-long period (1998–2007) on the groundwater resources at the regional basin scale. This reveals no evidence of systematic declines in total groundwater availability over the period; only shorter-term losses/gains in storage associated with successive dry/wet years. The clearest indicator of stress comes from the more widespread drying out of wells following lower rainfall years throughout the basin and especially in upland areas where aquifers are least developed and most easily drained. Groundwater in the basin offers an adaptive mechanism to climate variability to some degree, but the buffering capacity is constrained by low aquifer storativity and average residence times of just a few years. Around 40% of the basin is currently at a level of development that is of concern, and the number of irrigation wells is growing rapidly. However recent evidence of conversion from high to low water use crops indicates the adaptive capacity of farmers to water-related stresses. Surplus surface water flows may provide opportunities to enhance groundwater recharge but requires careful trade-off analysis of the downstream impacts.",/Users/zarrar/projects/ilri-climate-adaptation-effectiveness/scripts/outputs/step13/fulltext/doi_10.1016_j.agwat.2011.10.019.pdf,,,,
84855238541,The Impact of Climate Change on Crop Production in West Africa: An Assessment for the Oueme River Basin in Benin,10.1007/s11269-011-9931-x,2012,Water Resources Management,"Climate change studies for West Africa tend to predict a reduced potential for farming that will affect the food security situation of an already impoverished population. However, these studies largely ignore farmers’ adaptations and market adjustments that mitigate predicted negative effects. The paper attempts to fill some of this gap through a spatially explicit evaluation of the impact of climate change on farm income in the Oueme River Basin (ORB), Benin. The ORB is in many respects representative for the middle belt of West Africa where the predominantly sparse occupation leaves potential for migration from more densely populated areas. We apply a number of structural, spatially explicit relationships estimated for the whole territory of Benin to simulate conditions in the ORB proper that are similar to those currently prevailing in the drier North, and the more humid South. Our scenario results factor out for the main crops cultivated the constituent effects on yields, area, and revenue per ton. We find that under average climate change conditions the current low yields are not reduced, provided that cropping patterns are adjusted, while price increases partly compensate for the remaining adverse effects on farmer income. Consequently, without any policy intervention, farm incomes remain relatively stable, albeit at low levels and with increased occurrence of crop failures after extreme droughts. Scenario simulations show that there are also beneficial aspects that can, with adequate interventions, even turn losses into gains. Main channel for improvement would be the reduction of fallow, which is particularly promising because it requires few adjustments in prevailing farming practices, exploits the potential of uncultivated land and improves the water use efficiency. It also enables the Basin's capacity to absorb future migrant flows from more severely affected neighboring Sahelian areas.",/Users/zarrar/projects/ilri-climate-adaptation-effectiveness/scripts/outputs/step13/fulltext/doi_10.1007_s11269-011-9931-x.pdf,,,,
84878423026,Unravelling strategic choices towards droughts and floods' adaptation in Southern Malawi,10.1016/j.ijdrr.2012.08.002,2012,International Journal of Disaster Risk Reduction,"This paper examined factors that influence households' choice over climatic change (droughts and floods) adaptation strategies. The paper employs a multivariate probit analysis on 500 household survey data from low and highland of southern Malawi. Data reveals that households have adopted strategies such as irrigation farming, crop diversification, shifting planting dates, growing of improved varieties and income generating activities. Empirically, it is depicted that household characteristics such as education, land, income, labour and gender have significant influence on households' choice over droughts and floods related adaptation. Furthermore, climatic variables such as temperature and rainfall significantly affect households' choices over various adaptation strategies. The study advocates that climatic and weather related projects should mainstream factors that influence farmers' behaviours for successful adaptation.",/Users/zarrar/projects/ilri-climate-adaptation-effectiveness/scripts/outputs/step13/fulltext/doi_10.1016_j.ijdrr.2012.08.002.pdf,,,,
84878602374,Buffer capacity: Capturing a dimension of resilience to climate change in African smallholder agriculture,10.1007/s10113-012-0391-5,2013,Regional Environmental Change,"Building resilience to climate change in agricultural production can ensure the functioning of agricultural-based livelihoods and reduce their vulnerability to climate change impacts. This paper thus explores how buffer capacity, a characteristic feature of resilience, can be conceptualised and used for assessing the resilience of smallholder agriculture to climate change. It uses the case of conservation agriculture farmers in a Kenyan region and examines how their practices contribute to buffer capacity. Surveys were used to collect data from 41 purposely selected conservation agriculture farmers in the Laikipia region of Kenya. Besides descriptive statistics, factor analysis was used to identify the key dimensions that characterise buffer capacity in the study context. The cluster of practices characterising buffer capacity in conservation agriculture include soil protection, adapted crops, intensification/irrigation, mechanisation and livelihood diversification. Various conservation practices increase buffer capacity, evaluated by farmers in economic, social, ecological and other dimensions. Through conservation agriculture, most farmers improved their productivity and incomes despite drought, improved their environment and social relations. Better-off farmers also reduced their need for labour, but this resulted in lesser income-earning opportunities for the poorer farmers, thus reducing the buffer capacity and resilience of the latter.",/Users/zarrar/projects/ilri-climate-adaptation-effectiveness/scripts/outputs/step13/fulltext/doi_10.1007_s10113-012-0391-5.html,,,,
85028690195,Lessons from silage adoption studies in Honduras,10.17138/tgft(1)235-239,2013,Tropical Grasslands Forrajes Tropicales,"To date, silage adoption has been low in the tropics, particularly under smallholder conditions. Innovation and adoption processes of silage technologies were promoted in drought-constrained areas of Honduras using a flexible, site-specific and participatory research and extension approach. A total of about 250 farmers participated in training workshops and field days conducted in 13 locations. Smallholders successfully ensiled maize, sorghum and/or Pennisetum spp., mainly in heap and earth silos, while adoption of little bag silage (LBS) was low. LBS proved useful as a demonstration, experimentation and learning tool. A ‘silage boom’ occurred in 5 locations, where favorable adoption conditions included the presence of demonstration farms and involvement of key innovators, lack of alternative dry season feeds, perceived benefits of silage feeding, a favorable milk market and both extension continuity and intensity. The lack of chopping equipment was the main reason for non-adoption by poor smallholders. The study showed that, when targeting production system needs and farmer demands, silage promotion can lead to significant adoption, including at smallholder level, in the tropics. This experience could contribute to an increase in effectiveness and sustainability of silage extension in similar situations elsewhere.",/Users/zarrar/projects/ilri-climate-adaptation-effectiveness/scripts/outputs/step13/fulltext/doi_10.17138_tgft_1_235-239.pdf,,,,
