doi,title,year,confirmed_include,publication_year,publication_type,country_region,geographic_scale,producer_type,marginalized_subpopulations,adaptation_focus,process_outcome_domains,indicators_measured,methodological_approach,purpose_of_assessment,data_sources,temporal_coverage,cost_data_reported,strengths_and_limitations,lessons_learned,coder_id,notes,procurement_status
10.18805/bkap710,Farm women participation in natural resource conservation: technology adoption study in semi-arid regions of India.,,Yes,2024,journal_article ,"India, Semi-Arid Regions (specifically states of Punjab, Rajasthan, and Gujarat where the studied watersheds are located)",sub-national,mixed,"women, youth","Soil and Water Conservation (SWC) technologies within watershed programmes (including mixed cropping, mulching, field bunds, in-situ measures, vegetative barriers, trenching, and contour cultivation) to mitigate land degradation and enhance ecosystem resilience","knowledge_awareness_learning, decision_making_planning, uptake_adoption , behavioral_change, participation_coproduction","Level of SWC technology adoption by farm women; Socio-economic and demographic factors influencing adoption (age, education, farming experience, land holding, risk bearing, social participation, agro-advisory, weather advisory, skill development, ease of use, cost-effectiveness)","qualitative, quantitative",research,"surveys, participatory_methods, secondary_data",cross_sectional,yes,"Uses a blended quantitative and qualitative data approach (surveys, FGDs, regression, and correlation modeling) across multiple distinct semi-arid agro-ecosystems to provide a multi-faceted view of gender-focussed technology adoption","the study reveals that while a majority of farm women (55%) maintain a medium level of Soil and Water Conservation (SWC) technology adoption due to resource constraints and cultural barriers, younger and highly educated women are significantly more receptive to these innovations. Furthermore, active social participation in networks like SHGs or FPOs strongly accelerates adoption by providing critical information channels, whereas long-term farming experience can sometimes create resistance to changing traditional, deeply ingrained practices without targeted awareness campaigns",SZC,,
10.56520/asj.24.340,Livestock farmers risk perception and willingness to pay for livestock insurance in flood-prone areas of Punjab.,,Yes,2024,journal_article ,"Pakistan, Punjab (Dera Ghazi Khan, Layyah, Muzaffargarh, and Rajanpur districts)",sub-national, livestock ,youth,Willingness to pay for flood and livestock insurance as a financial risk mitigation tool against climate change and extreme flooding events,"decision_making_planning, uptake_adoption , risk_reduction, resilience_adaptive_capacity","Willingness to pay (WTP) for livestock insurance, factors/demographic variables affecting WTP (e.g., household size, farming experience, source of irrigation, availability of animal dispensary, risk perceptions of theft, climate changes, and diseases)",quantitative,research,surveys,cross_sectional,yes,This study fills a critical academic gap by using face-to-face interviews and the Contingent Valuation Method alongside binary logistic modeling to precisely evaluate the feasibility and determinants of livestock flood insurance among rural survivors in Pakistan,"farmer's willingness to pay for insurance is driven by high risk perceptions, financial literacy, and a lack of local government infrastructure, but ultimately depends on their financial position. Consequently, public subsidies and risk-sharing frameworks are crucial to incentivize private insurers to launch these vital localized disaster programs",SZC,,done
10.7251/agren2601065n,"Potato production: cultivation practices, limitations, and opportunities for improvement in Chaparhar, Nangarhar, Afghanistan.",,No,,journal_article ,,,,,,,,,,,,,,,SZC,PDF could not be retrieved during procurement,Skip - NA
,"Evidence-Based Scaling-Up of Evergreen Agriculture for Increasing Crop Productivity, Fodder Supply and Resilience in Tanzania and Malawi",,Yes,2012,report,Tanzania (Eastern Africa) and Malawi (Southern Africa),multi-country,mixed,"youth, women","Integration of Evergreen Agriculture (fertilizer trees/shrubs, conservation agriculture, and improved soil/water management) to increase ecosystem resilience against climate variability and drought, alongside building capacity for Climate-Smart Agriculture","knowledge_awareness_learning, decision_making_planning, uptake_adoption , participation_coproduction , yields_productivity, risk_reduction","Socio-economic variables,Biophysical/Soil markers,Land Use/Cover Change metrics,On-farm tree stocking parameters,Energy metrics,USAID indicator No. 14","qualitative, quantitative, participatory",research,"remote_sensing, participatory_methods, secondary_data",cross_sectional,no,"Multi-disciplinary partner integration (ICRAF, universities, local research institutes) and successfully co-locating activities with Feed-the-Future action sites;Short project duration, late start of field activities in the growing season, delays in signing contracts, and unexpected changes to the action sites",Building a common vision and workable program among diverse CG centers and national partners takes longer than expected. Short project timelines complicated by administrative delays in contract signing can severely limit the execution of time-sensitive seasonal field activities (such as establishing tree nurseries or executing experiential exchange visits),SZC,,done
,Breaking Boundaries: Lower Tail Dependence Can Triple the Economic Value of Index Insurance for Rural Households,,No,,journal_article ,,,,,,,,,,,,,,,SZC,Excluded during procurement: methodology (not implemented),Skip - exclude - methodology (not implemented)
10.1016/j.gloenvcha.2020.102096,Fire risk perpetuates poverty and fire use among Amazonian smallholders,2020,Yes,2020,journal_article ,"Brazil, Brazilian Amazon (Eastern Amazon municipalities of Paragominas and Santarém)",sub-national,mixed,none_reported,"Smallholder vulnerability, agricultural practices, coordination, and land-use choices under environmental/anthropogenic fire risk feedback loops","knowledge_awareness_learning, decision_making_planning, behavioral_change, access_information_services, livelihoods, resilience_adaptive_capacity","Farm revenue, per capita per day farm revenue, fire risk (fire hotspot counts via MODIS FIRMS), physical capital (principal component analysis aggregating chemical inputs, machinery, cattle stock, and wire fences), labor days, farm size, environmental features (slope, soil quality, water access), market access (travel time to city), and household characteristics (age, gender, education)","quantitative, modeling_with_empirical_validation",research,"surveys, remote_sensing",cross_sectional,yes,Combines empirical household survey data with high-resolution remote-sensing fire tracking data; utilizes an instrumental variable GMM approach (Lewbel heteroskedasticity restrictions) to address reverse causality and attenuation bias from detection errors;Analysis only concerns the short run due to lack of longitudinal data; subject to fire measurement errors originating from cloud distortion and detection precision; lacks direct data on farmer fire control investments; assumes risk neutrality; unable to perfectly differentiate between remotely sensed accidental and intended fires,"Individual-focused mitigation policies (like conditional credit exclusions or mechanization subsidies targeted at individual farms) fail because transitioning to fire-free agricultural systems requires landscape-level coordination. A single farm's choice is highly vulnerable to neighbor externalities, creating a low-income fire-poverty trap. To break this lock-in, policy interventions (such as PES or command-and-control mandates) must target whole contiguous communities/settlements simultaneously using a coordinated ""Big Push"" approach.",SZC,,
10.1080/23311932.2025.2596361,Do input subsidies promote conservation agriculture? Analyzing Pfumvudza adoption willingness among smallholders in northeastern Zimbabwe using endogenous switching regression,2025,Yes,2025,journal_article ,"Zimbabwe, Mashonaland East province",sub-national,crop,none_reported,"Climate-smart conservation agriculture, specifically the Pfumvudza initiative (minimum soil disturbance through planting basins, organic soil mulching, and crop rotation with legumes) to build agricultural resilience against drought and climate change impacts","knowledge_awareness_learning, decision_making_planning, behavioral_change, access_information_services, wellbeing, resilience_adaptive_capacity",Willingness to adopt the Pfumvudza concept without input subsidy incentives; Access to maize input subsidies; Tropical Livestock Units (TLU); Household perception scores of the Pfumvudza concept; Frequency of extension contact; Tobacco/cotton crop engagement,"qualitative, quantitative, participatory",research,"surveys, participatory_methods",cross_sectional,no,"It utilizes an endogenous switching probit model to address unobservable confounding factors and eliminate selection bias inherent in non-random subsidy access. It also balances quantitative survey data with qualitative insights from 12 focus group discussions;The study relies strictly on cross-sectional data from a single province (Mashonaland East), limiting its generalizability to areas with different agricultural configurations or tracking how impacts change over time","Input subsidies alone are insufficient to sustain long-term adoption across all smallholders and may breed dependency. Their effectiveness heavily hinges on land-use context: subsidies significantly improve adoption willingness for communal farmers (who operate smaller, compatible land sizes) but have a negative impact on A1 and old resettlement farmers who manage larger land holdings where manual basin digging has a high labor opportunity cost. Genuine, long-term conservation agriculture practices are driven by increasing extension exposure and cultivating positive farmer perceptions about standalone benefits, rather than relying strictly on external input packages",SZC,,done
,"2nd International Conference on Environmental Management: Leveraging Digitalization and Technological Advancements for a Greener Future, ICEM 2024",2025,No,2025,journal_article ,,,,,,,,,,,,,,,SZC,Excluded during procurement: conference not a paper,Skip - exclude - conference not a paper
,Farming systems in Oman and Mechanization Potentials,2017,No,2017,journal_article ,,,,,,,,,,,,,,,SZC,PDF could not be retrieved during procurement,Skip - NA
,Impact of tank rehabilitation - An analytical study of peri-urban tank of Tamil Nadu,2010,No,2021,journal_article ,"India, Southern India (Tamil Nadu)",sub-national,mixed,none_reported,Tank rehabilitation as a rainwater harvesting and adaptation strategy against climate change/water scarcity in semi-arid regions,"decision_making_planning, behavioral_change, institutional_governance, risk_reduction, income_assets","Internal rate of return (IRR), water availability (mcft), cropping area (ha), crop yield (kg/ha), crop production (quintals), and net cropping benefits (Rs/ha or Rs in lakhs)",quantitative,research,"surveys, secondary_data",cross_sectional,yes,Evaluates multiple structural combinations (63 options) to help policymakers prioritize limited capital based on objective-driven parameters;Confined to a small sampling size of tanks (18 sampled tanks) due to the constraints of time and the cost of data collection,"Periodic tank maintenance is vital to sustain agriculture in semi-arid zones. While individual components like a sluice (Sl) yield the highest financial feasibility (IRR) on their own, integrated strategies like combining sluice, weir, and water spread area rehabilitation ($Sl+W+Wa$) provide the maximum overall benefit to system parameters like absolute water availability, cropping area, production, and net returns. Therefore, the ideal investment option remains highly subjective to the specific policy targets of the governing state",SZC,,done
