doi,filename,publication_year,publication_type,country_region,geographic_scale,producer_type,marginalized_subpopulations,adaptation_focus,domain_type,process_outcome_domains,indicators_measured,methodological_approach,purpose_of_assessment,data_sources,temporal_coverage,cost_data_reported,equity_inclusion,strengths_and_limitations,lessons_learned,validity_notes,coder_id,notes
10.1016/j.agsy.2010.06.001,doi_10.1016_j.agsy.2010.06.001.pdf,2011,journal_article,Zimbabwe,local,mixed,none_reported,crop-livestock interactions under climate variability,both,uptake_adoption; yields_productivity; risk_reduction,"crop yields (t/ha), soil carbon stocks (t C ha^-1), livestock feed intake (%)",quantitative,research,surveys; administrative_data,longitudinal,no,none_reported,not_reported,not_reported,none_flagged,LLM,
10.1016/j.agsy.2012.05.003,doi_10.1016_j.agsy.2012.05.003.pdf,2012,journal_article,Kenya,sub-national,mixed,none_reported,modeling_with_empirical_validation_for_climate_impact_and_adaptation_strategies,both,decision_making_planning; yields_productivity; income_assets; livelihoods; risk_reduction,not_reported,modeling_with_empirical_validation,research,surveys; remote_sensing; secondary_data,not_reported,no,none_reported,not_reported,not_reported,none_flagged,LLM,
10.1016/j.agsy.2017.01.002,doi_10.1016_j.agsy.2017.01.002.pdf,2018,journal_article,India,local,crop,indigenous_peoples,conservation agriculture for climate change adaptation,both,uptake_adoption; yields_productivity,"maize equivalent yield, partial budget analysis, soil quality index (SQI)",quantitative,research,surveys,cross_sectional,no,indigenous_peoples,Strength: Engaged all stakeholders in co-designing CA treatments. Limitation: Single-season follow-up.,not_reported,"small sample, self-reported outcomes",LLM,
10.1016/j.agwat.2019.03.001,doi_10.1016_j.agwat.2019.03.001.pdf,2019,journal_article,Tunisia,sub-national,mixed,none_reported,water harvesting for smallholder agriculture,both,decision_making_planning; yields_productivity; income_assets; livelihoods,not_reported,mixed_methods,research,surveys; participatory_methods,longitudinal,no,none_reported,not_reported,not_reported,none_flagged,LLM,
10.1016/j.apgeog.2017.10.004,doi_10.1016_j.apgeog.2017.10.004.pdf,2017,journal_article,Kenya,local,mixed,none_reported,small-scale irrigation systems for drought resilience,both,decision_making_planning; institutional_governance; access_information_services,"satisfaction (survey), quantity of water delivered (log liters/minute)",quantitative,research,surveys,cross_sectional,no,none_reported,not_reported,not_reported,none_flagged,LLM,
10.1016/j.biocon.2018.03.005,doi_10.1016_j.biocon.2018.03.005.pdf,2018,journal_article,Madagascar,national,mixed,none_reported,drought-induced deforestation and agricultural expansion,both,behavioral_change; risk_reduction,"deforestation rate (%), drought occurrence (frequency)",quantitative,research,remote_sensing; administrative_data,longitudinal,no,none_reported,not_reported,not_reported,none_flagged,LLM,
10.1016/j.crte.2008.07.004,doi_10.1016_j.crte.2008.07.004.pdf,2008,journal_article,China,national,crop,none_reported,technical inputs for maintaining harvest levels during droughts,both,uptake_adoption; yields_productivity,"harvest levels, rainfall data, technical input usage",quantitative,research,administrative_data; secondary_data,longitudinal,no,none_reported,not_reported,not_reported,none_flagged,LLM,
10.1016/j.ecolecon.2011.07.004,doi_10.1016_j.ecolecon.2011.07.004.pdf,2011,journal_article,Costa Rica,local,crop,none_reported,farmers' decisions to adapt to climate change using a framed field experiment,adaption_process,decision_making_planning; uptake_adoption,not_reported,quantitative,research,not_reported,cross_sectional,no,none_reported,not_reported,not_reported,none_flagged,LLM,
10.1016/j.ecolecon.2018.06.023,doi_10.1016_j.ecolecon.2018.06.023.pdf,2018,journal_article,Uganda,national,crop,none_reported,land fragmentation as an insurance alternative for weather risk reduction,both,uptake_adoption; yields_productivity,"number of parcels, distance between parcels, crop yield (tons/ha)",quantitative,research,surveys,cross_sectional,no,none_reported,not_reported,not_reported,none_flagged,LLM,
10.1016/j.ecolecon.2019.106359,doi_10.1016_j.ecolecon.2019.106359.pdf,2019,journal_article,Brazilian Amazon,local,mixed,none_reported,"fire mitigation policies (command and control, payment for environmental services)",both,behavioral_change; risk_reduction,not_reported,quantitative,research,not_reported,cross_sectional,no,none_reported,not_reported,not_reported,none_flagged,LLM,
10.1016/j.envdev.2012.11.001,doi_10.1016_j.envdev.2012.11.001.pdf,2013,journal_article,Sub-Saharan Africa,sub-national,mixed,none_reported,participatory action research for climate change adaptation,both,knowledge_awareness_learning; decision_making_planning; institutional_governance; yields_productivity; livelihoods,not_reported,participatory,research,participatory_methods,not_reported,no,land_tenure,not_reported,not_reported,none_flagged,LLM,
10.1016/j.envdev.2016.12.002,doi_10.1016_j.envdev.2016.12.002.pdf,2017,journal_article,India,local,fisheries_aquaculture,none_reported,climate resilient aquaculture strategies,both,decision_making_planning; risk_reduction,not_reported,quantitative,research,surveys,cross_sectional,no,none_reported,not_reported,not_reported,none_flagged,LLM,
10.1016/j.envsci.2019.05.005,doi_10.1016_j.envsci.2019.05.005.pdf,2019,journal_article,Ethiopia,sub-national,mixed,none_reported,institutional roles in climate change adaptation,both,institutional_governance; participation_coproduction,not_reported,mixed_methods,research,surveys; participatory_methods,cross_sectional,no,none_reported,not_reported,"There is an urgent need to participate, capacitate, and synergize local institutions, and establish policy monitoring and evaluation systems so that national policy provisions can yield intended results.",none_flagged,LLM,
10.1016/j.fcr.2011.12.011,doi_10.1016_j.fcr.2011.12.011.pdf,2012,journal_article,Sub-Saharan Africa,regional,mixed,none_reported,aggradation-conservation agriculture (ABACO) for soil restoration and food security,both,uptake_adoption; yields_productivity; livelihoods,not_reported,mixed_methods,research,not_reported,cross_sectional,no,none_reported,not_reported,not_reported,none_flagged,LLM,
10.1016/j.fcr.2012.07.014,doi_10.1016_j.fcr.2012.07.014.pdf,2012,journal_article,Mozambique,local,crop; mixed,none_reported,maize-legume intercropping for ecological intensification,both,knowledge_awareness_learning; uptake_adoption; yields_productivity; income_assets; livelihoods; risk_reduction,"yield (t/ha), land equivalent ratio (LER), rainfall infiltration rate (mm/h), economic return (%), acceptability score (%)",quantitative,research,surveys; participatory_methods,seasonal,no,none_reported,not_reported,not_reported,none_flagged,LLM,
10.1016/j.gloenvcha.2006.11.008,doi_10.1016_j.gloenvcha.2006.11.008.pdf,2007,journal_article,Senegal,local,crop,none_reported,understanding causes and consequences of climate change for social learning and enhanced adaptive capacity,both,knowledge_awareness_learning; institutional_governance,not_reported,participatory,research,participatory_methods,cross_sectional,no,none_reported,not_reported,not_reported,none_flagged,LLM,
10.1016/j.gloenvcha.2007.05.001,doi_10.1016_j.gloenvcha.2007.05.001.pdf,2008,journal_article,Kenya,local,mixed,none_reported,drought impacts on food security,both,knowledge_awareness_learning; decision_making_planning; uptake_adoption; livelihoods; risk_reduction,"food security score, rainfall variability (mm), household income (USD/year)",mixed_methods,research,surveys; participatory_methods; secondary_data,longitudinal,no,none_reported,not_reported,not_reported,none_flagged,LLM,
10.1016/j.gloenvcha.2010.09.001,doi_10.1016_j.gloenvcha.2010.09.001.pdf,2011,journal_article,Tanzania,sub-national,fisheries_aquaculture,none_reported,responses_to_declining_fish_catch,both,behavioral_change; risk_reduction,"economic_wealth, options, community_group_membership, proportion_of_catch_sold",quantitative,research,surveys,cross_sectional,no,none_reported,not_reported,not_reported,none_flagged,LLM,
10.1016/j.gloenvcha.2013.03.002,doi_10.1016_j.gloenvcha.2013.03.002.pdf,2013,journal_article,India,sub-national,crop,none_reported,crop insurance,both,uptake_adoption; yields_productivity,"access to crop insurance, likelihood of engaging in adaptations",quantitative,research,surveys,cross_sectional,no,none_reported,not_reported,not_reported,none_flagged,LLM,
10.1016/j.gloenvcha.2014.12.008,doi_10.1016_j.gloenvcha.2014.12.008.pdf,2015,journal_article,India,sub-national,crop,none_reported,drought-tolerant crops and irrigation use for delayed monsoon onset,both,knowledge_awareness_learning; decision_making_planning; uptake_adoption; income_assets,"yield (t/ha), irrigation use (hours per week), crop type choice, planting date delay",quantitative,research,surveys,cross_sectional,no,none_reported,not_reported,not_reported,"small sample, single-season follow-up",LLM,
10.1016/j.gloenvcha.2015.03.009,doi_10.1016_j.gloenvcha.2015.03.009.pdf,2015,journal_article,Mexico,local,fisheries_aquaculture,none_reported,income diversification for risk mitigation,both,decision_making_planning; income_assets; livelihoods,"income diversification indices, economic metric of resilience",quantitative,research,surveys; administrative_data,longitudinal,no,none_reported,not_reported,not_reported,none_flagged,LLM,
10.1016/j.heliyon.2018.e00797,doi_10.1016_j.heliyon.2018.e00797.pdf,2018,journal_article,Pakistan,national,livestock,none_reported,climate-risk-coping strategies for livestock productivity and household welfare,both,uptake_adoption; income_assets; wellbeing,"livestock ownership, milk production (kg), butter production (kg), poverty level, household income (USD)",quantitative,research,surveys,cross_sectional,no,none_reported,Strength: Large sample size. Limitation: Single-season follow-up.,not_reported,none_flagged,LLM,
10.1016/j.heliyon.2019.e01492,doi_10.1016_j.heliyon.2019.e01492.pdf,2019,journal_article,Ghana,local,crop,none_reported,coping and adaptation strategies for climate variability,both,knowledge_awareness_learning; decision_making_planning; uptake_adoption; livelihoods,not_reported,qualitative,research,participatory_methods,cross_sectional,no,none_reported,not_reported,not_reported,none_flagged,LLM,
10.1016/j.ijdrr.2018.06.011,doi_10.1016_j.ijdrr.2018.06.011.pdf,2018,journal_article,Bangladesh,sub-national,none_reported,women,resilience to flash floods in wetland communities,both,knowledge_awareness_learning; decision_making_planning; uptake_adoption; behavioral_change; participation_coproduction; institutional_governance; access_information_services; yields_productivity; income_assets; livelihoods; wellbeing,"household questionnaire surveys (n=80), flood damage estimates, income levels, livelihood status",mixed_methods,research,surveys; participatory_methods,cross_sectional,no,gender,not_reported,not_reported,"small sample (n=80), single-site study, self-reported outcomes",LLM,
10.1016/j.jaridenv.2008.06.011,doi_10.1016_j.jaridenv.2008.06.011.pdf,2008,journal_article,Tanzania,local,crop,none_reported,farmers' perceptions of drought and vulnerability to agricultural drought,both,knowledge_awareness_learning; decision_making_planning; behavioral_change; risk_reduction,not_reported,qualitative,research,surveys; participatory_methods,cross_sectional,no,none_reported,not_reported,not_reported,none_flagged,LLM,
10.1016/j.jaridenv.2016.12.014,doi_10.1016_j.jaridenv.2016.12.014.pdf,2017,journal_article,Ethiopia,local,livestock,none_reported,drought adaptation strategies for pastoralists,both,decision_making_planning; uptake_adoption; risk_reduction,"herd size, migration patterns, feed resource use",mixed_methods,research,participatory_methods; surveys,cross_sectional,no,none_reported,not_reported,not_reported,none_flagged,LLM,
10.1016/j.jclepro.2021.128129,doi_10.1016_j.jclepro.2021.128129.pdf,2021,journal_article,Vietnam,sub-national,crop,none_reported,climate change responses related to salinity intrusion and drought for rice farming,both,uptake_adoption; yields_productivity; income_assets,"yield (kg/ha), profitability (%), income (USD/year), chemical fertilizer use (kg/ha)",quantitative,research,surveys,cross_sectional,no,none_reported,not_reported,not_reported,"small sample, self-reported outcomes",LLM,
10.1016/j.jenvman.2015.11.060,doi_10.1016_j.jenvman.2015.11.060.pdf,2016,journal_article,Vietnam,local,mixed,none_reported,integrated silvopastoral approaches for ecosystem management,both,decision_making_planning; institutional_governance; access_information_services,not_reported,mixed_methods,research,participatory_methods; secondary_data,cross_sectional,no,none_reported,not_reported,not_reported,none_flagged,LLM,
10.1016/j.jenvman.2023.119708,doi_10.1016_j.jenvman.2023.119708.pdf,2024,journal_article,Bangladesh,sub-national,mixed,none_reported,multi-hazard risk assessments and adaptation policies for coastal hazards,both,knowledge_awareness_learning; decision_making_planning; yields_productivity; income_assets; livelihoods; wellbeing,"food access, poverty levels, child marriage rates, divorce rates, freshwater availability, human health effects, migration patterns",mixed_methods,research,surveys; participatory_methods,cross_sectional,no,none_reported,not_reported,not_reported,none_flagged,LLM,
10.1016/j.jhydrol.2012.08.007,doi_10.1016_j.jhydrol.2012.08.007.pdf,2012,journal_article,Thailand,sub-national,mixed,none_reported,floodwater harvesting for agricultural development,both,uptake_adoption; income_assets,"adoption rate (%), export earnings (USD/year)",quantitative,research,administrative_data; secondary_data,cross_sectional,no,none_reported,not_reported,not_reported,none_flagged,LLM,
10.1016/j.jrurstud.2025.103884,doi_10.1016_j.jrurstud.2025.103884.pdf,2025,journal_article,Turkey,sub-national,mixed,none_reported,social capital for climate adaptation,both,knowledge_awareness_learning; decision_making_planning; institutional_governance; access_information_services,not_reported,mixed_methods,research,surveys; participatory_methods,longitudinal,no,none_reported,not_reported,not_reported,none_flagged,LLM,
10.1016/j.landusepol.2016.07.022,doi_10.1016_j.landusepol.2016.07.022.pdf,2016,journal_article,China,sub-national,mixed,none_reported,institutional changes affecting local climate adaptations,both,institutional_governance; access_information_services; behavioral_change,not_reported,qualitative,research,participatory_methods,cross_sectional,no,none_reported,not_reported,This study recommends flexible policies that facilitate local arrangements rather than a one-for-all policy.,none_flagged,LLM,
10.1016/j.landusepol.2019.104353,doi_10.1016_j.landusepol.2019.104353.pdf,2019,journal_article,China,sub-national,mixed,none_reported,whole-farm land use optimization for climate change adaptation,both,uptake_adoption; yields_productivity; risk_reduction,"farm profitability, greenhouse gas emissions, cropping area, pasture area, sheep flock size",modeling_with_empirical_validation,research,secondary_data,cross_sectional,no,none_reported,not_reported,Policymakers should initiate more educational schemes to inform smallholder farmers about adaptation strategies and consider climate change when designing agricultural policies.,none_flagged,LLM,
10.1016/j.marpol.2020.104195,doi_10.1016_j.marpol.2020.104195.pdf,2020,journal_article,Galápagos,local,fisheries_aquaculture,none_reported,local ecological knowledge for climate adaptation in fisheries,both,knowledge_awareness_learning; participation_coproduction; institutional_governance,not_reported,qualitative,research,participatory_methods,cross_sectional,no,none_reported,not_reported,Collaborative initiatives involving fishers and decision-makers are essential for sustainable use of marine resources under climate change.,none_flagged,LLM,
10.1016/j.pce.2011.08.004,doi_10.1016_j.pce.2011.08.004.pdf,2011,journal_article,Botswana,local,mixed,none_reported,household adaptation to extreme flooding,both,decision_making_planning; yields_productivity; livelihoods; wellbeing,"household displacement, destruction of household property, livestock drowning, mud-trapping, destruction of public infrastructure, disruption of services",mixed_methods,research,surveys; participatory_methods,cross_sectional,no,none_reported,not_reported,not_reported,none_flagged,LLM,
10.1016/j.rsase.2018.07.012,doi_10.1016_j.rsase.2018.07.012.pdf,2018,journal_article,Ethiopia,sub-national,mixed,none_reported,land use and land cover changes for climate change adaptation,not_found,not_found,"NDVI, area of agriculture and settlement areas, forest and woodland coverage",quantitative,research,remote_sensing; participatory_methods,longitudinal,no,none_reported,not_reported,not_reported,none_flagged,LLM,
10.1016/j.scitotenv.2016.01.098,doi_10.1016_j.scitotenv.2016.01.098.pdf,2016,journal_article,China,local,mixed,none_reported,land use management for drought risk adaptation,both,uptake_adoption; yields_productivity; livelihoods; risk_reduction,not_reported,qualitative,research,participatory_methods,cross_sectional,no,none_reported,not_reported,not_reported,none_flagged,LLM,
10.1016/j.scitotenv.2020.139120,doi_10.1016_j.scitotenv.2020.139120.pdf,2020,journal_article,Sri Lanka,sub-national,mixed,women,diverse land use strategies for climate resilience,both,knowledge_awareness_learning; uptake_adoption; yields_productivity; livelihoods; risk_reduction,"water availability (quantity), farmers' perspectives on climate variability, socioeconomic characteristics, plant species richness, crop diversity",mixed_methods,research,surveys; participatory_methods,cross_sectional,no,gender,not_reported,Policymakers should consult with farmers when planning resilient farming enterprises.,none_flagged,LLM,
10.1016/j.worlddev.2025.107102,doi_10.1016_j.worlddev.2025.107102.pdf,2025,journal_article,China,national,mixed,women,labor reallocation in response to meteorological disasters,both,decision_making_planning; access_information_services; yields_productivity; income_assets; wellbeing,"proportion of male non-farm employment (%), proportion of female farm work (%)",quantitative,research,surveys,longitudinal,no,gender,"Strength: Longitudinal data provides robust insights into long-term trends. Limitation: Limited to rural China, results may not generalize globally.",not_reported,none_flagged,LLM,
10.1017/s001447971100010x,doi_10.1017_s001447971100010x.pdf,2011,journal_article,Sub-Saharan Africa,regional,mixed,none_reported,seasonal climate forecasts for smallholder decision-making,both,decision_making_planning; institutional_governance,not_found,quantitative,research,administrative_data; secondary_data,cross_sectional,no,none_reported,not_found,not_found,none_flagged,LLM,
10.1017/s174217051300029x,doi_10.1017_s174217051300029x.pdf,2013,journal_article,Bolivia,local,agroforestry,none_reported,agroforestry systems for climate resilience in cocoa cultivation,both,knowledge_awareness_learning; decision_making_planning; uptake_adoption; institutional_governance; yields_productivity,"soil organic matter (g/kg), depth of Ah horizon (cm), soil bulk density (g/cm³), tree species diversity (species/ha), crop varieties diversity (varieties/plantation), ant species diversity (species/m²), cocoa yields (kg/tree), infestation of cocoa trees with Moniliophthora perniciosa (%)",mixed_methods,research,participatory_methods; surveys,cross_sectional,no,none_reported,Strength: Transdisciplinary approach involving farmers and scientists. Limitation: Limited to a single region in Bolivia.,not_reported,none_flagged,LLM,
10.1051/e3sconf_202455901015,doi_10.1051_e3sconf_202455901015.pdf,2024,journal_article,India,local,crop,none_reported,adjusting sowing times for delayed monsoons,both,uptake_adoption; yields_productivity,"paddy yield (tons/ha), rainfall patterns, temperature variations",quantitative,research,surveys; administrative_data,cross_sectional,no,none_reported,not_reported,not_reported,none_flagged,LLM,
10.1080/02626667.2011.630002,doi_10.1080_02626667.2011.630002.pdf,2011,journal_article,Tanzania,local,fisheries_aquaculture,none_reported,Flood management and fishery resilience,both,decision_making_planning; income_assets; risk_reduction,"IPHF (US$/fisher/hour), fish diversity index",mixed_methods,research,participatory_methods; surveys,longitudinal,no,none_reported,not_reported,not_reported,none_flagged,LLM,
10.1080/14735903.2013.863450,doi_10.1080_14735903.2013.863450.pdf,2015,journal_article,Zimbabwe,sub-national,crop,none_reported,dambo cultivation for climate change adaptation,both,uptake_adoption; yields_productivity; livelihoods; wellbeing,"yield (t/ha), food security score",quantitative,research,surveys; participatory_methods,cross_sectional,no,none_reported,not_reported,not_reported,none_flagged,LLM,
10.1186/2048-7010-1-15,doi_10.1186_2048-7010-1-15.pdf,2012,journal_article,Kenya,sub-national,agroforestry,none_reported,agroforestry techniques to reduce vulnerability to climate change,both,knowledge_awareness_learning; uptake_adoption; yields_productivity; income_assets; livelihoods; wellbeing,"livestock value (USD), farm productivity, off-farm incomes, wealth, environmental conditions of the farm",mixed_methods,research,surveys; participatory_methods,cross_sectional,no,none_reported,Strength: Mixed methods approach provides comprehensive understanding. Limitation: Single-season follow-up limits long-term impact assessment.,not_reported,"small sample (n < 30), single-season follow-up, self-reported outcomes",LLM,
10.1186/s13002-016-0113-z,doi_10.1186_s13002-016-0113-z.pdf,2016,journal_article,China,local,mixed,none_reported,traditional edible plants used during droughts,both,knowledge_awareness_learning; decision_making_planning; uptake_adoption; livelihoods; wellbeing,"number of edible plant species consumed, SI (Significant Index) for each plant's food supply significance",qualitative,research,surveys; participatory_methods,cross_sectional,no,none_reported,not_reported,not_reported,none_flagged,LLM,
10.1186/s13570-014-0019-0,doi_10.1186_s13570-014-0019-0.pdf,2014,journal_article,Botswana,local,livestock,none_reported,drought-tolerant livestock management practices,both,uptake_adoption; yields_productivity,"SPI values, birth rates (per female), death rates (per animal), off-take rate (Sales − Purchase + Home slaughter)",quantitative,research,surveys; administrative_data,longitudinal,no,none_reported,not_reported,not_reported,"small sample (n < 30), single-site study, self-reported outcomes",LLM,
10.1186/s40066-023-00429-1,doi_10.1186_s40066-023-00429-1.pdf,2023,journal_article,Nigeria,national,crop,none_reported,drought-tolerant maize varieties and interrelated climate smart agricultural practices,adaptation_process,uptake_adoption; access_information_services,adoption rate (%),quantitative,research,surveys,cross_sectional,no,none_reported,not_reported,not_reported,none_flagged,LLM,
10.1186/s40068-020-00202-4,doi_10.1186_s40068-020-00202-4.pdf,2020,journal_article,Kenya,sub-national,agroforestry; livestock,none_reported,water harvesting technologies for drought resilience,both,uptake_adoption; access_information_services; institutional_governance,"adoption rate (%), monthly income (USD), land tenure status, membership in social groups",quantitative,research,surveys; participatory_methods,cross_sectional,no,none_reported,not_reported,"Pastoralists need to be mobilized and trained on how to construct and use water harvesting structures, and sensitized on socioeconomic benefits.",none_flagged,LLM,
10.1186/s40152-014-0009-2,doi_10.1186_s40152-014-0009-2.pdf,2014,journal_article,Mexico,local,fisheries_aquaculture,none_reported,mobility and diversification of fishing activities,both,decision_making_planning; uptake_adoption; access_information_services; livelihoods,not_reported,qualitative,research,surveys; participatory_methods,cross_sectional,no,none_reported,not_reported,not_reported,none_flagged,LLM,
10.1371/journal.pone.0196392,doi_10.1371_journal.pone.0196392.pdf,2018,journal_article,Sub-Saharan Africa; South Asia; Central America,multi-country,mixed,none_reported,agricultural adaptation through intensification and diversification,both,knowledge_awareness_learning; decision_making_planning; uptake_adoption; institutional_governance; access_information_services,not_reported,quantitative,research,surveys,cross_sectional,no,none_reported,not_reported,not_reported,none_flagged,LLM,
10.14198/ingeo.26589,doi_10.14198_ingeo.26589.html,2023,journal_article,Mali,sub-national,crop,none_reported,farmers' perceptions of climate change and soil erosion adaptation strategies,both,knowledge_awareness_learning; uptake_adoption; access_information_services,"adoption rate (%), knowledge index (%)",quantitative,research,surveys,cross_sectional,no,none_reported,not_reported,Conclusions suggest that policies should focus on providing technical assistance and nature-based solutions to enhance adaptation strategies.,none_flagged,LLM,
10.1515/opag-2022-0144,doi_10.1515_opag-2022-0144.pdf,2022,journal_article,Indonesia,sub-national,crop,none_reported,climate change adaptation and mitigation for Arabica coffee farming,both,knowledge_awareness_learning; decision_making_planning; institutional_governance; access_information_services; yields_productivity; income_assets; livelihoods,"sustainability index (percentage), adoption rate (%)",quantitative,research,surveys; secondary_data,cross_sectional,no,none_reported,not_reported,not_reported,none_flagged,LLM,
10.15446/agron.colomb.v37n1.77545,doi_10.15446_agron.colomb.v37n1.77545.pdf,2019,journal_article,South Africa,sub-national,crop,none_reported,climate change adaptation techniques for smallholder maize farmers,both,decision_making_planning; uptake_adoption,"mean, frequency, percentages, Wilcoxon sign rank test",quantitative,research,surveys,cross_sectional,no,none_reported,not_reported,The study recommends incorporating conservation agricultural practices to existing strategies.,none_flagged,LLM,
